				SY				CC				SMLE			
$\tau$	$r$	$p$	Covariate	Bias	SE	RE		Bias	SE	RE		Bias	SE	SEE	CP
0.5	0.3	0.6	$X_a$	-0.000165562410604447	0.0424902235287375	0.818133595023538		-1.13438437209235e-05	0.0404067311167429	0.904679652854075		-0.0018931290820775	0.0384327206315611	0.0379430692833232	0.9458
0.5	0.3	0.6	$X_b$	0.000892852702668701	0.0706390135285675	1.01675592111089		-0.000199027841632005	0.0731824256301956	0.947310522727492		0.000953958190039628	0.0712283658682055	0.0725267673709047	0.9543
0.5	0.3	1	$X_a$	0.00010312701676618	0.0455337528426482	0.72992229683288		-9.88445179888608e-05	0.0420420629139687	0.856200518218093		-0.00169772429859955	0.038901984901244	0.0390027961508044	0.9506
0.5	0.3	1	$X_b$	0.000628534721175633	0.0739459731193105	1.05396188842774		-0.000762377026523653	0.0756959247554403	1.00579382759213		0.000245753405726856	0.0759148926167356	0.0745910478603627	0.9476
0.5	0.5	0.6	$X_a$	-0.000334968497699262	0.0420151077609421	0.824009659176393		2.48690370813209e-06	0.040192523085481	0.900435743572657		-0.000208804314695943	0.0381392047360999	0.037646839614637	0.9457
0.5	0.5	0.6	$X_b$	0.000921794951497024	0.0699213806932045	1.01984746080024		-0.000247658865852818	0.0725926157769945	0.946172492743873		0.000986662973648911	0.0706118524295808	0.0720303217784666	0.9548
0.5	0.5	1	$X_a$	-0.000174897556567633	0.04477653263093	0.742512348717763		-0.000100330600917242	0.0417912234336968	0.852382314557999		0.00042694128926718	0.0385835603617672	0.0387051006582982	0.9507
0.5	0.5	1	$X_b$	0.000638848349228893	0.0728901713671473	1.06043646025379		-0.000743891501241212	0.0749143839244191	1.00390396428391		0.000283396423970239	0.0750604730212485	0.0738251250026169	0.9482
1	0.3	0.6	$X_a$	-0.000222631344165669	0.0494380233844175	0.660052302238843		-4.68531479691503e-05	0.042745789754788	0.882904756886774		-0.00223009439102989	0.0401652314311269	0.0394135254724885	0.9448
1	0.3	0.6	$X_b$	0.000848813009576954	0.07456021658738	0.979295319806445		-0.000215882508881493	0.0759983909863163	0.942582137841565		0.00114288619462388	0.0737843066188493	0.0750333119277691	0.9531
1	0.3	1	$X_a$	0.000130996165182529	0.0559234506307057	0.524734282912958		-8.09221393427428e-06	0.0447175423008532	0.820675574295803		-0.00208973915775645	0.0405101340564907	0.0405368192746191	0.9492
1	0.3	1	$X_b$	0.000423605415162176	0.0798618776480632	0.984694051922601		-0.000770588894734359	0.0791159227782167	1.00335022474452		0.000197816572771514	0.0792483400251565	0.077797389334043	0.9475
1	0.5	0.6	$X_a$	-0.000679108833381015	0.0482129709986926	0.681859584953815		8.24079018628687e-05	0.0424088873664187	0.881269991234579		0.000132543861004586	0.0398117592804949	0.039157795156243	0.9451
1	0.5	0.6	$X_b$	0.000889730109371101	0.0731965144838583	0.996848149474232		-0.00026227066164114	0.0752093073707566	0.944205728230158		0.00112527509029769	0.0730810712107527	0.0743128928923217	0.9536
1	0.5	1	$X_a$	-0.000591590782110851	0.0541279831905054	0.55093205817625		4.92760395394698e-05	0.044399740215927	0.81880573774952		0.000769303186482384	0.0401763859790589	0.0402056076267706	0.9488
1	0.5	1	$X_b$	0.000439338276527312	0.0778517368148587	1.01313283065434		-0.000764066193582491	0.0782286859276405	1.00339268442848		0.00020614384024098	0.0783612761859411	0.0768748243531504	0.9476
