		SY					MLE				
rho	p	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
-0.5	0.1	0.000882885331379701	0.0407921516428921	0.0404288200308757	0.9501		-0.00284639931938185	0.0351081816149404	0.0346503679122807	0.9466	1.35000865956217
-0.5	0.3	0.00221831704566988	0.0514867560129467	0.05135701576928	0.9521		-0.00631551670410813	0.0382449801454839	0.0380335473861079	0.9461	1.81235044698293
-0.5	0.6	0.00366155299906273	0.0623104056661533	0.0616039424795048	0.9504		-0.01071005705652	0.0414616041653466	0.0413906805796627	0.9432	2.25854607743725
-0.5	1	0.00353414546136499	0.0721480254692477	0.0717259240942822	0.9508		-0.0135500392557575	0.0447692231849	0.0437205045032864	0.9366	2.59710663823512
-0.3	0.1	0.000242261185083026	0.0394544143990542	0.0391443901679079	0.949		-0.00231914697708591	0.0351512096920897	0.0346908321686169	0.9463	1.25982624873189
-0.3	0.3	0.00135983549980428	0.049599629730998	0.0494837922821543	0.9521		-0.00483778116494643	0.0384928912506703	0.0382688477674026	0.9471	1.66033530742181
-0.3	0.6	0.00249360071248222	0.0607038097384705	0.0601333803283248	0.9504		-0.00793535977552523	0.0418248723291224	0.0417355189120654	0.946	2.10650574617021
-0.3	1	0.00208173055152505	0.0715857788852282	0.0711530471701169	0.9504		-0.0101291224358243	0.0453434139800517	0.0442325336508288	0.9416	2.49244209658698
0	0.1	-0.000640490431660479	0.0377692253891878	0.0375577956697227	0.9489		-0.0015861421310322	0.0350564553855239	0.0345757914596289	0.9423	1.16075390228453
0	0.3	0.000237960050140762	0.0472408086686971	0.0469211854569198	0.9493		-0.00257312531735809	0.0386134045028076	0.0383120716521179	0.9463	1.49678167448568
0	0.6	0.000288046333081993	0.0579031510735344	0.0575798973640458	0.9482		-0.00430021041725748	0.0424828201056074	0.0420178060638813	0.9461	1.85770914986273
0	1	0.000476815379577722	0.0697471834295449	0.0691712674252132	0.9476		-0.00579506020627557	0.0457848869671323	0.0445821063413011	0.9416	2.32064685199697
0.3	0.1	-0.00169240879909177	0.0367317743147533	0.0363387566526612	0.9462		-0.000508758580502033	0.0347658413642833	0.0343680702149327	0.9445	1.11629332091878
0.3	0.3	-0.0014232038076038	0.0449800075243892	0.0445913282853291	0.9496		-0.000419315765424699	0.0383579451142	0.0381205685142606	0.9475	1.3750813147508
0.3	0.6	-0.0011386584801712	0.0539917550935441	0.0546266435139102	0.9523		-0.000859681606362739	0.042034673907875	0.0417475766081627	0.9467	1.64983124852482
0.3	1	-0.00078126190413258	0.0665845340226328	0.065840775497003	0.9459		-0.00133925656424322	0.0454180890740783	0.0443590024606768	0.9425	2.14926028725063
0.5	0.1	-0.00236420991100117	0.0362117590574258	0.0357904645983492	0.9465		0.000412775569074153	0.0344814835660644	0.0341340817623419	0.9452	1.10287770627446
0.5	0.3	-0.00231224186879647	0.0436115731161383	0.0432269601842266	0.9495		0.00107562539308476	0.0379492660347616	0.0376973943586872	0.9442	1.32067739168501
0.5	0.6	-0.00228312044176499	0.0518675902495595	0.0523760771137528	0.9518		0.00167613443732773	0.0414226722380172	0.0411838530558063	0.9481	1.56789118235023
0.5	1	-0.002258376397691	0.0635592878897956	0.0626863904907901	0.9456		0.0017338951403571	0.0447779773079966	0.043783014813043	0.9436	2.01478682245718
