		SY					MLE				
rho	p	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
-0.5	0.1	0.000882885331379701	0.0407921516428921	0.0404288200308757	0.9501		-0.00249803802937842	0.0352682492217153	0.0346996260267959	0.946	1.33778223587405
-0.5	0.3	0.00221831704566988	0.0514867560129467	0.05135701576928	0.9521		-0.00418759303817418	0.0384829241623356	0.0381653525663264	0.9454	1.79000782310005
-0.5	0.6	0.00366155299906273	0.0623104056661533	0.0616039424795048	0.9504		-0.0065325499987488	0.0418372538614043	0.041586752181442	0.9461	2.21816994614864
-0.5	1	0.00353414546136499	0.0721480254692477	0.0717259240942822	0.9508		-0.00809298674809195	0.0452511151988362	0.0439640382742486	0.9425	2.54208651243169
-0.3	0.1	0.000242261185083026	0.0394544143990542	0.0391443901679079	0.949		-0.00201820550134046	0.0352889271741346	0.0347068290720082	0.9462	1.25001231758801
-0.3	0.3	0.00135983549980428	0.049599629730998	0.0494837922821543	0.9521		-0.003098680805451	0.0387542956185706	0.038392480095929	0.9459	1.63801235567229
-0.3	0.6	0.00249360071248222	0.0607038097384705	0.0601333803283248	0.9504		-0.00473565038577545	0.0422348542423748	0.0419292957434228	0.9473	2.06580772254734
-0.3	1	0.00208173055152505	0.0715857788852282	0.0711530471701169	0.9504		-0.00602561374651334	0.0458272833158782	0.0444473566151425	0.9418	2.44008684758931
0	0.1	-0.000640490431660479	0.0377692253891878	0.0375577956697227	0.9489		-0.00140044486006624	0.0352572899955586	0.034622610222035	0.9417	1.14756765894009
0	0.3	0.000237960050140762	0.0472408086686971	0.0469211854569198	0.9493		-0.00164706054584401	0.0388490302315552	0.0384870479273349	0.9471	1.4786802835921
0	0.6	0.000288046333081993	0.0579031510735344	0.0575798973640458	0.9482		-0.00245566825708393	0.0428307498420377	0.0423497548035875	0.9455	1.82765004605557
0	1	0.000476815379577722	0.0697471834295449	0.0691712674252132	0.9476		-0.00348227536231316	0.0462831712665316	0.0447948075193183	0.9398	2.27094769461611
0.3	0.1	-0.00169240879909177	0.0367317743147533	0.0363387566526612	0.9462		-0.000439645724556126	0.0348754164975008	0.034401648060185	0.9437	1.10928977251363
0.3	0.3	-0.0014232038076038	0.0449800075243892	0.0445913282853291	0.9496		-0.000104748103318952	0.0387263058345159	0.0383254537855868	0.9457	1.34904645700468
0.3	0.6	-0.0011386584801712	0.0539917550935441	0.0546266435139102	0.9523		-0.000356468928599696	0.0424503806190215	0.0419965032967537	0.9468	1.61767663660087
0.3	1	-0.00078126190413258	0.0665845340226328	0.065840775497003	0.9459		-0.000699770559293711	0.0458864884388901	0.0445858200802456	0.9429	2.10560586795175
0.5	0.1	-0.00236420991100117	0.0362117590574258	0.0357904645983492	0.9465		0.00036222205604447	0.0346012895746581	0.0341609751828957	0.9456	1.09525356122328
0.5	0.3	-0.00231224186879647	0.0436115731161383	0.0432269601842266	0.9495		0.0007836993107882	0.038246148448859	0.0378291013025144	0.9444	1.30025368149505
0.5	0.6	-0.00228312044176499	0.0518675902495595	0.0523760771137528	0.9518		0.00108836848731897	0.041829018447021	0.0414078117410929	0.9477	1.53757672176584
0.5	1	-0.002258376397691	0.0635592878897956	0.0626863904907901	0.9456		0.00109958402855426	0.0452720067000548	0.0440353223177007	0.9431	1.97105414780736
