		MBE						TPEE						SMLE			
$r$	$p$	Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP
-0.5	0.1	0.000882885331379701	0.0407921516428921	0.0404288200308757	0.9501	0.755971603779178		-0.00153566561191409	0.0385008033649898	0.0381829898071449	0.9422	0.848631456991684		-0.0026087928186711	0.0354674001479579	0.0347301324927994	0.9449
-0.5	0.3	0.00221831704566988	0.0514867560129467	0.05135701576928	0.9521	0.563522953339511		-0.000966005848762497	0.0428732620989361	0.0425571670931249	0.9476	0.812698786603155		-0.00315604141108355	0.0386501634265176	0.0382448548813372	0.9464
-0.5	0.6	0.00366155299906273	0.0623104056661533	0.0616039424795048	0.9504	0.45693498818849		-0.000406013068553812	0.0452317170102453	0.0447818115419417	0.9456	0.867140405648539		-0.00439565238094364	0.0421199440528414	0.041691633342579	0.9449
-0.5	1	0.00353414546136499	0.0721480254692477	0.0717259240942822	0.9508	0.399716431953566		0.000648303591529009	0.0462322499926232	0.0461433590488269	0.9485	0.97344370774214		-0.00543121717513045	0.0456142408052151	0.0441077987583185	0.9417
-0.3	0.1	0.000242261185083026	0.0394544143990542	0.0391443901679079	0.949	0.809075170133376		-0.00118807647851343	0.0378594191239562	0.0376195593011295	0.9439	0.878682919083323		-0.00214361145163239	0.0354886957135285	0.034711064800533	0.9456
-0.3	0.3	0.00135983549980428	0.049599629730998	0.0494837922821543	0.9521	0.616203719384125		-0.000814287610495124	0.0424608912541466	0.0421525359910172	0.9467	0.840819882460147		-0.00228297161360164	0.0389350370332406	0.0384231764666783	0.946
-0.3	0.6	0.00249360071248222	0.0607038097384705	0.0601333803283248	0.9504	0.490385332833686		-0.000355397494049892	0.0450410015146871	0.0446363256604327	0.9472	0.890744789755582		-0.00310922403940728	0.04250937151276	0.0420633621189936	0.9472
-0.3	1	0.00208173055152505	0.0715857788852282	0.0711530471701169	0.9504	0.415778250629073		0.000637370956845185	0.0462058833872602	0.0461497321952327	0.9489	0.997977434518799		-0.00409808818372309	0.0461591325237407	0.0445707785213744	0.942
0	0.1	-0.000640490431660479	0.0377692253891878	0.0375577956697227	0.9489	0.87567275338337		-0.00056837524542469	0.0368916348905075	0.0368534670478733	0.9487	0.917829873531191		-0.00144989865570994	0.035343454564697	0.0346519213130695	0.9425
0	0.3	0.000237960050140762	0.0472408086686971	0.0469211854569198	0.9493	0.684723790364369		-0.000286747727439141	0.0418062315721049	0.0414989520128845	0.9465	0.874315183053597		-0.00117265344504502	0.0390908426249427	0.0385488354633505	0.9456
0	0.6	0.000288046333081993	0.0579031510735344	0.0575798973640458	0.9482	0.553126559583876		-0.000107004251591214	0.0448078362051537	0.0443226937844271	0.9439	0.923678777753862		-0.00149273198851352	0.043064008729378	0.0423064554896632	0.9454
0	1	0.000476815379577722	0.0697471834295449	0.0691712674252132	0.9476	0.447156987749452		0.000631884451453624	0.0461988434061429	0.0460125728011626	0.9466	1.01918063793412		-0.00241082262392422	0.0466398006331745	0.0449030422843396	0.9393
0.3	0.1	-0.00169240879909177	0.0367317743147533	0.0363387566526612	0.9462	0.905758313324704		-1.79832652664746e-05	0.0362007435559511	0.0361400007580107	0.9511	0.932526455566061		-0.000455289950238247	0.0349581202307087	0.0343909536756241	0.9437
0.3	0.3	-0.0014232038076038	0.0449800075243892	0.0445913282853291	0.9496	0.748056350424405		0.000197981462190244	0.0412396069747902	0.0407689463345315	0.9478	0.889906392064472		4.41582895988057e-05	0.0389033213717818	0.0383911379290997	0.945
0.3	0.6	-0.0011386584801712	0.0539917550935441	0.0546266435139102	0.9523	0.626204597145491		0.000134035880904493	0.0444222870955392	0.0438264132508556	0.9448	0.925058744342552		-7.72986996619984e-05	0.042725344282118	0.0421261699737411	0.9453
0.3	1	-0.00078126190413258	0.0665845340226328	0.065840775497003	0.9459	0.482138237273915		0.000541587612991945	0.0459705256160259	0.0456897770872981	0.949	1.01148481319989		-0.00048022519717883	0.0462337534427491	0.0446756711951966	0.9423
0.5	0.1	-0.00236420991100117	0.0362117590574258	0.0357904645983492	0.9465	0.918122299145119		0.000228325076199132	0.0357817243799823	0.0357591366945432	0.9516	0.940323408137236		0.000360465569650303	0.0346976362501982	0.0341704193706533	0.9456
0.5	0.3	-0.00231224186879647	0.0436115731161383	0.0432269601842266	0.9495	0.77766031544353		0.000380650635985968	0.0406944696218733	0.0402428058027882	0.948	0.893146409698968		0.000627132569428979	0.03845888783256	0.0379290481091839	0.9442
0.5	0.6	-0.00228312044176499	0.0518675902495595	0.0523760771137528	0.9518	0.659526348462457		0.0002292410340064	0.0439072369717895	0.0433503386500404	0.9439	0.920348007495198		0.000884834458686257	0.0421223067564713	0.04153031346402	0.9465
0.5	1	-0.002258376397691	0.0635592878897956	0.0626863904907901	0.9456	0.513092419779366		0.000537111865445639	0.0455814595970658	0.0453018580639499	0.948	0.997647660176936		0.000786516312990537	0.0455278164904861	0.0441318035112435	0.9424
