		MBE						TPEE						SMLE			
$r$	$p$	Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP
-0.5	0.1	0.000882885331379701	0.0407921516428921	0.0404288200308757	0.9501	0.740735989296774		-0.00153566561191409	0.0385008033649898	0.0381829898071449	0.9422	0.831528404903841		-0.00284639931938185	0.0351081816149404	0.0346503679122807	0.9466
-0.5	0.3	0.00221831704566988	0.0514867560129467	0.05135701576928	0.9521	0.551769665554875		-0.000966005848762497	0.0428732620989361	0.0425571670931249	0.9476	0.795748487303783		-0.00631551670410813	0.0382449801454839	0.0380335473861079	0.9461
-0.5	0.6	0.00366155299906273	0.0623104056661533	0.0616039424795048	0.9504	0.442762718011354		-0.000406013068553812	0.0452317170102453	0.0447818115419417	0.9456	0.840245227060698		-0.01071005705652	0.0414616041653466	0.0413906805796627	0.9432
-0.5	1	0.00353414546136499	0.0721480254692477	0.0717259240942822	0.9508	0.385043873546739		0.000648303591529009	0.0462322499926232	0.0461433590488269	0.9485	0.937711102035141		-0.0135500392557575	0.0447692231849	0.0437205045032864	0.9366
-0.3	0.1	0.000242261185083026	0.0394544143990542	0.0391443901679079	0.949	0.793760251468468		-0.00118807647851343	0.0378594191239562	0.0376195593011295	0.9439	0.862050400950568		-0.00231914697708591	0.0351512096920897	0.0346908321686169	0.9463
-0.3	0.3	0.00135983549980428	0.049599629730998	0.0494837922821543	0.9521	0.602287980945735		-0.000814287610495124	0.0424608912541466	0.0421525359910172	0.9467	0.821831633622884		-0.00483778116494643	0.0384928912506703	0.0382688477674026	0.9471
-0.3	0.6	0.00249360071248222	0.0607038097384705	0.0601333803283248	0.9504	0.474719806398856		-0.000355397494049892	0.0450410015146871	0.0446363256604327	0.9472	0.862289644145967		-0.00793535977552523	0.0418248723291224	0.0417355189120654	0.946
-0.3	1	0.00208173055152505	0.0715857788852282	0.0711530471701169	0.9504	0.401212931433532		0.000637370956845185	0.0462058833872602	0.0461497321952327	0.9489	0.963016827845119		-0.0101291224358243	0.0453434139800517	0.0442325336508288	0.9416
0	0.1	-0.000640490431660479	0.0377692253891878	0.0375577956697227	0.9489	0.861509057201408		-0.00056837524542469	0.0368916348905075	0.0368534670478733	0.9487	0.902984300884108		-0.0015861421310322	0.0350564553855239	0.0345757914596289	0.9423
0	0.3	0.000237960050140762	0.0472408086686971	0.0469211854569198	0.9493	0.668100109084792		-0.000286747727439141	0.0418062315721049	0.0414989520128845	0.9465	0.853088613821581		-0.00257312531735809	0.0386134045028076	0.0383120716521179	0.9463
0	0.6	0.000288046333081993	0.0579031510735344	0.0575798973640458	0.9482	0.538297397132319		-0.000107004251591214	0.0448078362051537	0.0443226937844271	0.9439	0.898915217930098		-0.00430021041725748	0.0424828201056074	0.0420178060638813	0.9461
0	1	0.000476815379577722	0.0697471834295449	0.0691712674252132	0.9476	0.430914337155382		0.000631884451453624	0.0461988434061429	0.0460125728011626	0.9466	0.982159646542436		-0.00579506020627557	0.0457848869671323	0.0445821063413011	0.9416
0.3	0.1	-0.00169240879909177	0.0367317743147533	0.0363387566526612	0.9462	0.895821896682973		-1.79832652664746e-05	0.0362007435559511	0.0361400007580107	0.9511	0.922296385076364		-0.000508758580502033	0.0347658413642833	0.0343680702149327	0.9445
0.3	0.3	-0.0014232038076038	0.0449800075243892	0.0445913282853291	0.9496	0.7272297203611		0.000197981462190244	0.0412396069747902	0.0407689463345315	0.9478	0.865130516279201		-0.000419315765424699	0.0383579451142	0.0381205685142606	0.9475
0.3	0.6	-0.0011386584801712	0.0539917550935441	0.0546266435139102	0.9523	0.606122596413507		0.000134035880904493	0.0444222870955392	0.0438264132508556	0.9448	0.89539267279709		-0.000859681606362739	0.042034673907875	0.0417475766081627	0.9467
0.3	1	-0.00078126190413258	0.0665845340226328	0.065840775497003	0.9459	0.465276358536926		0.000541587612991945	0.0459705256160259	0.0456897770872981	0.949	0.976110032803057		-0.00133925656424322	0.0454180890740783	0.0443590024606768	0.9425
0.5	0.1	-0.00236420991100117	0.0362117590574258	0.0357904645983492	0.9465	0.90671884499145		0.000228325076199132	0.0357817243799823	0.0357591366945432	0.9516	0.928644207137217		0.000412775569074153	0.0344814835660644	0.0341340817623419	0.9452
0.5	0.3	-0.00231224186879647	0.0436115731161383	0.0432269601842266	0.9495	0.757187187647794		0.000380650635985968	0.0406944696218733	0.0402428058027882	0.948	0.869632929297643		0.00107562539308476	0.0379492660347616	0.0376973943586872	0.9442
0.5	0.6	-0.00228312044176499	0.0518675902495595	0.0523760771137528	0.9518	0.637799364686155		0.0002292410340064	0.0439072369717895	0.0433503386500404	0.9439	0.890028693833178		0.00167613443732773	0.0414226722380172	0.0411838530558063	0.9481
0.5	1	-0.002258376397691	0.0635592878897956	0.0626863904907901	0.9456	0.496330425062254		0.000537111865445639	0.0455814595970658	0.0453018580639499	0.948	0.965055939534063		0.0017338951403571	0.0447779773079966	0.043783014813043	0.9436
