		SY					MLE				
rho	p	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
-0.5	0.1	0.000882885331379701	0.0407921516428921	0.0404288200308757	0.9501		-0.00292264675024267	0.0355601229110004	0.0347168602770871	0.9438	1.31591161430537
-0.5	0.3	0.00221831704566988	0.0514867560129467	0.05135701576928	0.9521		-0.00257824507878252	0.0388100085245331	0.0382566733929117	0.9457	1.75996318205219
-0.5	0.6	0.00366155299906273	0.0623104056661533	0.0616039424795048	0.9504		-0.00303551731606572	0.0423817627841198	0.0417029448344657	0.9457	2.16153924338283
-0.5	1	0.00353414546136499	0.0721480254692477	0.0717259240942822	0.9508		-0.00376651749123375	0.0458624423692685	0.0440960782964141	0.9414	2.47476828515599
-0.3	0.1	0.000242261185083026	0.0394544143990542	0.0391443901679079	0.949		-0.00243848655191048	0.0355891790865589	0.0347049788366146	0.9446	1.22900956389651
-0.3	0.3	0.00135983549980428	0.049599629730998	0.0494837922821543	0.9521		-0.00187237223825298	0.039113563007474	0.0385190122377141	0.946	1.60805948550616
-0.3	0.6	0.00249360071248222	0.0607038097384705	0.0601333803283248	0.9504		-0.00207426624655682	0.0427289371604653	0.0421150976006995	0.9467	2.01830927237011
-0.3	1	0.00208173055152505	0.0715857788852282	0.0711530471701169	0.9504		-0.00290778359490124	0.046431222945432	0.0446857253629801	0.9424	2.37702234338765
0	0.1	-0.000640490431660479	0.0377692253891878	0.0375577956697227	0.9489		-0.00162639335881815	0.035395125240374	0.0346135847465966	0.9417	1.13864737480021
0	0.3	0.000237960050140762	0.0472408086686971	0.0469211854569198	0.9493		-0.000939569852859756	0.0392562667472828	0.0386081809387833	0.9455	1.44816035654784
0	0.6	0.000288046333081993	0.0579031510735344	0.0575798973640458	0.9482		-0.000921657200451065	0.0432929473438488	0.0423665469727088	0.9454	1.78883420557366
0	1	0.000476815379577722	0.0697471834295449	0.0691712674252132	0.9476		-0.00165026992722039	0.0468427034543126	0.044928018778313	0.94	2.21701915398487
0.3	0.1	-0.00169240879909177	0.0367317743147533	0.0363387566526612	0.9462		-0.000468920277027329	0.0349974234408571	0.0343853691280626	0.9446	1.10156891021904
0.3	0.3	-0.0014232038076038	0.0449800075243892	0.0445913282853291	0.9496		0.000147565882204825	0.0391134248410731	0.0384027829026431	0.9436	1.3224746533627
0.3	0.6	-0.0011386584801712	0.0539917550935441	0.0546266435139102	0.9523		5.11133644198747e-05	0.0429137583273452	0.0421769018387032	0.9453	1.58293028480638
0.3	1	-0.00078126190413258	0.0665845340226328	0.065840775497003	0.9459		-0.000291608655807074	0.0464440215781872	0.0447486051808641	0.9418	2.05535618024613
0.5	0.1	-0.00236420991100117	0.0362117590574258	0.0357904645983492	0.9465		0.000388555828908399	0.0347503249472754	0.03415892199228	0.946	1.08587917445399
0.5	0.3	-0.00231224186879647	0.0436115731161383	0.0432269601842266	0.9495		0.000492757319008497	0.038609236344973	0.0379459984656634	0.943	1.27591305560543
0.5	0.6	-0.00228312044176499	0.0518675902495595	0.0523760771137528	0.9518		0.000731635028091593	0.0423305891143917	0.04158001013631	0.9444	1.50135542435862
0.5	1	-0.002258376397691	0.0635592878897956	0.0626863904907901	0.9456		0.000453799036779445	0.0457205708334616	0.0442156919984186	0.9423	1.9325678816011
