		SY				CC				MLE			
rho	p	Bias	SE	RE		Bias	SE	RE		Bias	SE	SEE	CP
-0.5	0.1	0.000882885331379701	0.0407921516428921	0.729257046195133		-0.00153566561191409	0.0385008033649898	0.818642481463896		-0.00453490551169805	0.03483508948128	0.034494861489829	0.9446
-0.5	0.3	0.00221831704566988	0.0514867560129467	0.541246636082008		-0.000966005848762497	0.0428732620989361	0.780572435940998		-0.0121984175454258	0.0378785315759531	0.0376689549635847	0.9374
-0.5	0.6	0.00366155299906273	0.0623104056661533	0.424938450653064		-0.000406013068553812	0.0452317170102453	0.806419534507079		-0.0221289920963724	0.0406184731051804	0.0408010292183986	0.9165
-0.5	1	0.00353414546136499	0.0721480254692477	0.3666638340389		0.000648303591529009	0.0462322499926232	0.892949535142548		-0.0296863024513384	0.0436876302198195	0.0429962770761899	0.8875
-0.3	0.1	0.000242261185083026	0.0394544143990542	0.781996078035566		-0.00118807647851343	0.0378594191239562	0.849274111881012		-0.00369800261012881	0.034889752544958	0.0345207405157994	0.9451
-0.3	0.3	0.00135983549980428	0.049599629730998	0.5884571807639		-0.000814287610495124	0.0424608912541466	0.802959284402331		-0.00948996319930812	0.0380483534922794	0.0378183478214048	0.9402
-0.3	0.6	0.00249360071248222	0.0607038097384705	0.456812290902366		-0.000355397494049892	0.0450410015146871	0.829762109046592		-0.0167015842546693	0.0410284243062002	0.0411288378747046	0.932
-0.3	1	0.00208173055152505	0.0715857788852282	0.381483526171564		0.000637370956845185	0.0462058833872602	0.915661052938349		-0.022180898090746	0.0442144929378686	0.0436724378722851	0.9135
0	0.1	-0.000640490431660479	0.0377692253891878	0.847055505188818		-0.00056837524542469	0.0368916348905075	0.887834918007301		-0.00240408859534796	0.0347611401469407	0.0344079581960537	0.9443
0	0.3	0.000237960050140762	0.0472408086686971	0.648668466168961		-0.000286747727439141	0.0418062315721049	0.828276593745652		-0.00540323010708071	0.0380477269534026	0.0378916081840251	0.9463
0	0.6	0.000288046333081993	0.0579031510735344	0.516240121687242		-0.000107004251591214	0.0448078362051537	0.86208126578899		-0.00945132923905551	0.0416033282870149	0.0413508196433772	0.943
0	1	0.000476815379577722	0.0697471834295449	0.40970869074969		0.000631884451453624	0.0461988434061429	0.933826768328155		-0.0125508797057083	0.0446441195596045	0.043804900840821	0.9367
0.3	0.1	-0.00169240879909177	0.0367317743147533	0.878491838378647		-1.79832652664746e-05	0.0362007435559511	0.904454166454084		-0.000804934523951251	0.0344279190233314	0.034259198182506	0.9459
0.3	0.3	-0.0014232038076038	0.0449800075243892	0.70693459226751		0.000197981462190244	0.0412396069747902	0.840986928422476		-0.00120745661613059	0.0378189215653927	0.0376501370623632	0.9474
0.3	0.6	-0.0011386584801712	0.0539917550935441	0.579812003054593		0.000134035880904493	0.0444222870955392	0.856525432654728		-0.00222684206561491	0.0411122311092866	0.0410512258226331	0.9495
0.3	1	-0.00078126190413258	0.0665845340226328	0.440399617943067		0.000541587612991945	0.0459705256160259	0.923920757264832		-0.00310537020758106	0.0441872355037496	0.0435430886652262	0.9462
0.5	0.1	-0.00236420991100117	0.0362117590574258	0.889816842699152		0.000228325076199132	0.0357817243799823	0.911333497643901		0.000698919816359278	0.034158589799328	0.0339444539297212	0.9459
0.5	0.3	-0.00231224186879647	0.0436115731161383	0.733407554072511		0.000380650635985968	0.0406944696218733	0.842321911967914		0.0019338444242839	0.0373486098713441	0.0372015506105443	0.9464
0.5	0.6	-0.00228312044176499	0.0518675902495595	0.609437523778654		0.0002292410340064	0.0439072369717895	0.850450648423821		0.00314224967011562	0.040491201763341	0.0404556597104191	0.9501
0.5	1	-0.002258376397691	0.0635592878897956	0.467572664216911		0.000537111865445639	0.0455814595970658	0.909139867276317		0.00374543662500487	0.0434613867265917	0.0428827147944972	0.9454
