		SY					MLE				
rho	p	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
-0.5	0.1	0.000882885331379701	0.0407921516428921	0.0404288200308757	0.9501		-0.0026087928186711	0.0354674001479579	0.0347301324927994	0.9449	1.32280100866342
-0.5	0.3	0.00221831704566988	0.0514867560129467	0.05135701576928	0.9521		-0.00315604141108355	0.0386501634265176	0.0382448548813372	0.9464	1.77455060893948
-0.5	0.6	0.00366155299906273	0.0623104056661533	0.0616039424795048	0.9504		-0.00439565238094364	0.0421199440528414	0.041691633342579	0.9449	2.18849513792866
-0.5	1	0.00353414546136499	0.0721480254692477	0.0717259240942822	0.9508		-0.00543121717513045	0.0456142408052151	0.0441077987583185	0.9417	2.50177355760087
-0.3	0.1	0.000242261185083026	0.0394544143990542	0.0391443901679079	0.949		-0.00214361145163239	0.0354886957135285	0.034711064800533	0.9456	1.23597909924136
-0.3	0.3	0.00135983549980428	0.049599629730998	0.0494837922821543	0.9521		-0.00228297161360164	0.0389350370332406	0.0384231764666783	0.946	1.6228399286513
-0.3	0.6	0.00249360071248222	0.0607038097384705	0.0601333803283248	0.9504		-0.00310922403940728	0.04250937151276	0.0420633621189936	0.9472	2.03921270283822
-0.3	1	0.00208173055152505	0.0715857788852282	0.0711530471701169	0.9504		-0.00409808818372309	0.0461591325237407	0.0445707785213744	0.942	2.40512821073973
0	0.1	-0.000640490431660479	0.0377692253891878	0.0375577956697227	0.9489		-0.00144989865570994	0.035343454564697	0.0346519213130695	0.9425	1.14197911963832
0	0.3	0.000237960050140762	0.0472408086686971	0.0469211854569198	0.9493		-0.00117265344504502	0.0390908426249427	0.0385488354633505	0.9456	1.4604429027767
0	0.6	0.000288046333081993	0.0579031510735344	0.0575798973640458	0.9482		-0.00149273198851352	0.043064008729378	0.0423064554896632	0.9454	1.80790450697633
0	1	0.000476815379577722	0.0697471834295449	0.0691712674252132	0.9476		-0.00241082262392422	0.0466398006331745	0.0449030422843396	0.9393	2.23635105208355
0.3	0.1	-0.00169240879909177	0.0367317743147533	0.0363387566526612	0.9462		-0.000455289950238247	0.0349581202307087	0.0343909536756241	0.9437	1.10404727761136
0.3	0.3	-0.0014232038076038	0.0449800075243892	0.0445913282853291	0.9496		4.41582895988057e-05	0.0389033213717818	0.0383911379290997	0.945	1.33679768834615
0.3	0.6	-0.0011386584801712	0.0539917550935441	0.0546266435139102	0.9523		-7.72986996619984e-05	0.042725344282118	0.0421261699737411	0.9453	1.59692216339265
0.3	1	-0.00078126190413258	0.0665845340226328	0.065840775497003	0.9459		-0.00048022519717883	0.0462337534427491	0.0446756711951966	0.9423	2.07409394793941
0.5	0.1	-0.00236420991100117	0.0362117590574258	0.0357904645983492	0.9465		0.000360465569650303	0.0346976362501982	0.0341704193706533	0.9456	1.08917951446242
0.5	0.3	-0.00231224186879647	0.0436115731161383	0.0432269601842266	0.9495		0.000627132569428979	0.03845888783256	0.0379290481091839	0.9442	1.2859084874733
0.5	0.6	-0.00228312044176499	0.0518675902495595	0.0523760771137528	0.9518		0.000884834458686257	0.0421223067564713	0.04153031346402	0.9465	1.51623965036618
0.5	1	-0.002258376397691	0.0635592878897956	0.0626863904907901	0.9456		0.000786516312990537	0.0455278164904861	0.0441318035112435	0.9424	1.94896662170532
