	MBE						UAEE						SMLE			
n2	Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP
50	-0.013033080455395	0.125422239973978	0.117300908909081	0.9497	0.818925676309537		-0.00134261599523711	0.12270861501171	0.106832489118351	0.9052	0.855546235951038		-0.00814989307299324	0.113500244426481	0.114566222725807	0.9151
100	-0.00634266217524498	0.088623098629518	0.0860464610987684	0.9488	0.820319441021818		-0.000616486784864423	0.0841029683901596	0.0791799059893742	0.9305	0.910865424043671		-0.00467275429426206	0.0802672590019279	0.0827075789917321	0.9512
200	-0.00243195482556036	0.0671138101042191	0.0664747159615183	0.9491	0.717551582230024		-0.000903041591139742	0.0608402105079787	0.0584754054583527	0.9383	0.873163352836497		-0.00126860384779992	0.0568510457776922	0.055827424956662	0.944
300	-0.00126838736808282	0.0587719262043837	0.058847026513502	0.9518	0.648319144220692		0.000359126554618616	0.0496929555738889	0.0492743416235644	0.9453	0.90685747985146		-0.00041945947118055	0.0473221369058016	0.046346494657586	0.943
