	SY					MLE				
n2	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
50	-0.013033080455395	0.125422239973978	0.117300908909081	0.9497		-0.00814989307299324	0.113500244426481	0.114566222725807	0.9151	1.22111203608424
100	-0.00634266217524498	0.088623098629518	0.0860464610987684	0.9488		-0.00467275429426206	0.0802672590019279	0.0827075789917321	0.9512	1.21903730424134
200	-0.00243195482556036	0.0671138101042191	0.0664747159615183	0.9491		-0.00126860384779992	0.0568510457776922	0.055827424956662	0.944	1.39362803283379
300	-0.00126838736808282	0.0587719262043837	0.058847026513502	0.9518		-0.00041945947118055	0.0473221369058016	0.046346494657586	0.943	1.54245020976828
