			SY						MLE					
rho_u_ustar	p_s	n2	Bias_persent	SE_1E2	SEE_1E2	CP_percent	MSE_1E7		Bias_persent	SE_1E2	SEE_1E2	CP_percent	MSE_1E7	RE
-0.5	0.05	300	-0.46674275146685	0.0473721401373046	0.0463214954291253	94.46	4.42611777619345		-0.17270651700799	0.0405393594704256	0.0412894033749409	95.22	3.42481213106735	1.36550170185346
-0.5	0.1	300	-0.463853877326493	0.0509226560882657	0.0499299295513231	94.37	5.12826057011531		-0.346453152311882	0.0417402489966014	0.0421177130054347	94.99	3.5405263346822	1.48837382974613
-0.5	0.2	300	-0.430076515958323	0.0573837670103147	0.056144099985236	94.52	6.49218027979257		-0.628251440747806	0.0437810429753102	0.0437305493060597	94.69	3.89528618600377	1.71793173469725
-0.5	0.3	300	-0.35770769584928	0.0626530909257462	0.0615137330274414	94.69	7.75778097457307		-0.878249041460499	0.0455936081541039	0.0453546221730088	94.24	4.29757238896394	1.88832645598872
0	0.05	300	-0.235684496950831	0.0506897337883882	0.0495567865786541	94.74	5.05780985153636		-0.310101264609109	0.0408711255216986	0.0415537543846159	95.27	3.48274501630787	1.53817881490906
0	0.1	300	-0.228059720766699	0.0566131856243248	0.0553984939433714	94.63	6.31766979532635		-0.568283759342144	0.0424057240439551	0.0425087683406388	94.78	3.65877772289686	1.78232221811816
0	0.2	300	-0.154633400381906	0.0658827790450369	0.0645057466495458	94.52	8.55418935635664		-0.966960586620564	0.0446054166868752	0.0444684954229945	94.19	4.23930480498996	2.18156731793685
0	0.3	300	-0.0308346044665744	0.072985747959245	0.0716122014895459	94.76	10.5143347155778		-1.35448014867846	0.0466315933162359	0.0461026877896237	93.56	4.54710677971656	2.44971531086152
0.5	0.05	300	-0.00795118314352722	0.054809931594498	0.0534642989836086	94.73	5.9110060750185		-0.458009424910144	0.0412148541566569	0.04156888705297	94.95	3.49089334235838	1.76852411195499
0.5	0.1	300	0.0119118170283095	0.0631820386251241	0.0616907382181676	94.59	7.8642896535768		-0.757562364712729	0.0426056513094878	0.0426405891433399	94.52	3.72656445984912	2.19913986824036
0.5	0.2	300	0.127746044077011	0.0748825065458215	0.0734881457901517	94.76	11.0909400791588		-1.2446758191664	0.0449062771664373	0.0444942640254759	93.62	4.1701571858318	2.78065200696023
0.5	0.3	300	0.302412417171032	0.0833801718540871	0.08186735291401	94.81	13.7540280145449		-1.74262026678643	0.0467034933602589	0.0462370575204258	93.01	4.67055947505575	3.18732859448684
