cov	naive_est	naive_se	lse_est	lse_se	sy_est	sy_se	smle_est	smle_se
Date of ART initiation (per year)	0.11779917511278	0.064233397049744	-0.268148359547018	0.225948144445269	0.189001879429591	0.0928979391280584	0.174342327723174	0.0672196623352122
Age (per 10 years)	-0.0180310781759776	0.100203168279278	0.136295457113074	0.364709710386269	-0.0454676287844144	0.103499213492621	-0.019296526898889	0.0997444719332911
Male sex	-0.732516973029092	0.22832671008803	0.262431204251827	0.870174188233367	-0.731540191314257	0.231259476974853	-0.720912907549464	0.227553272724705
Site A	1.28499270147523	0.378540065305892	0.242320713183635	1.33069679389378	1.32013904792317	0.330263714909297	1.11424663186222	0.393112430970243
Site B	0.936527105243993	0.340068076465937	-1.15964366489934	1.31069118300126	1.07417629466313	0.344414862690323	0.9081349147826	0.344534472219832
Site C	2.76329493161105	0.284882779805793	2.61995920767362	1.1986948865961	2.83316250233369	0.303665242328692	2.47191183736534	0.302019631142715
Site D	2.39881095143603	0.405449041434843	1.33920032089334	1.87003175189061	2.63880768102862	0.457567454858678	2.50403488915464	0.403556913102151
Site E	0.578669994499608	0.332497595631967	0.571007906331887	1.21961138171682	0.642056180385327	0.323768970372235	0.634111046938182	0.338876974539329
