	MBE						TPEE						SMLE			
Distribution	Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP
t3	-0.00170561815936998	0.078319897945063	0.0774692549229145	0.9529	0.731879706397471		0.000284797365947664	0.0716640824917266	0.0693053483882152	0.9452	0.874139692541014		-0.00203306478954302	0.0670026478089491	0.0648523092960562	0.9444
t5	-0.00127517542463818	0.0640470829992504	0.0636892304785542	0.9487	0.664840629739319		0.000154068085513603	0.0551724788251607	0.0546791629982411	0.949	0.895924201639007		-0.00120394253183181	0.0522225567898432	0.0514457581484468	0.9457
t10	-0.000240872935475145	0.0581658160129191	0.0582421613137563	0.9489	0.640800053985148		-0.000362504807020492	0.0488915673857407	0.0483184069533428	0.9443	0.906964460589779		0.00058159499123589	0.0465617285969397	0.045875321225639	0.9454
t15	-0.0025454076496696	0.0566099690098848	0.0568947054426591	0.9506	0.651063233996105		0.000510523374080973	0.0473365503066983	0.0466414936658135	0.9466	0.931141740067798		-0.00130971269286861	0.0456777289081044	0.0444768460016217	0.9415
t20	-0.00169493193354137	0.0560823935353433	0.0563142146583847	0.9487	0.623324929983497		-0.000207882371084822	0.0467421931020027	0.0459330746213873	0.944	0.897324256077061		-0.00117515071055674	0.0442775710918244	0.0439194603753982	0.9454
t30	-0.000254072069747924	0.0564046819722148	0.055814088477341	0.9515	0.61099148544904		0.000131598541308064	0.0455743108735441	0.0451919553813373	0.9463	0.935890948487023		-0.000509785066004076	0.04408925231529	0.0431895020816018	0.9468
Uniform(-1, 1)	-0.00150857836167312	0.0435316544931533	0.0438594270281567	0.9526	0.395720369628612		-0.000270379848073876	0.0272854846305298	0.0269042249385539	0.9487	1.00724567065869		-0.000441444598683782	0.0273841570338927	0.0265483632704197	0.9413
Uniform(-2, 2)	-0.00151913751629495	0.059275300472605	0.0594117578548813	0.9506	0.691428017004598		-0.000494340137036198	0.0505296224033214	0.0498695325117951	0.9481	0.951485985549434		-0.000903220160024309	0.0492886871911527	0.0482773993023424	0.9443
