	MBE					SMLE			
Distribution	Bias	SE	SEE	CP		Bias	SE	SEE	CP
t3	-0.00170561815936998	0.078319897945063	0.0774692549229145	0.9529		-0.00203306478954302	0.0670026478089491	0.0648523092960562	0.9444
t5	-0.00127517542463818	0.0640470829992504	0.0636892304785542	0.9487		-0.00120394253183181	0.0522225567898432	0.0514457581484468	0.9457
t10	-0.000240872935475145	0.0581658160129191	0.0582421613137563	0.9489		0.00058159499123589	0.0465617285969397	0.045875321225639	0.9454
t15	-0.0025454076496696	0.0566099690098848	0.0568947054426591	0.9506		-0.00130971269286861	0.0456777289081044	0.0444768460016217	0.9415
t20	-0.00169493193354137	0.0560823935353433	0.0563142146583847	0.9487		-0.00117515071055674	0.0442775710918244	0.0439194603753982	0.9454
t30	-0.000254072069747924	0.0564046819722148	0.055814088477341	0.9515		-0.000509785066004076	0.04408925231529	0.0431895020816018	0.9468
Uniform(-1, 1)	-0.00150857836167312	0.0435316544931533	0.0438594270281567	0.9526		-0.000441444598683782	0.0273841570338927	0.0265483632704197	0.9413
Uniform(-2, 2)	-0.00151913751629495	0.059275300472605	0.0594117578548813	0.9506		-0.000903220160024309	0.0492886871911527	0.0482773993023424	0.9443
