			SY						MLE					
rho_u_ustar	p_s	n2	Bias_persent	SE_1E2	SEE_1E2	CP_percent	MSE_1E7		Bias_persent	SE_1E2	SEE_1E2	CP_percent	MSE_1E7	RE
-0.5	0.05	300	-0.46674275146685	0.0473721401373046	0.0463214954291253	94.46	4.42611777619345		-0.171316649399036	0.0405143434955439	0.0435762486053996	96.36	3.55817467592087	1.36718850703599
-0.5	0.1	300	-0.463853877326493	0.0509226560882657	0.0499299295513231	94.37	5.12826057011531		-0.346188514146802	0.0417547062269374	0.0443495091601174	96.15	3.74830724529815	1.4873433333039
-0.5	0.2	300	-0.430076515958323	0.0573837670103147	0.056144099985236	94.52	6.49218027979257		-0.626135938310186	0.0437860017899679	0.0457770247405019	95.66	4.07586197289067	1.7175426412733
-0.5	0.3	300	-0.35770769584928	0.0626530909257462	0.0615137330274414	94.69	7.75778097457307		-0.869587948261561	0.0456307399829411	0.0470544785627348	95.16	4.39894096347498	1.88525447047803
0	0.05	300	-0.235684496950831	0.0506897337883882	0.0495567865786541	94.74	5.05780985153636		-0.310952528565552	0.0409198850995183	0.0438154555258093	96.32	3.62141205937366	1.53451525307898
0	0.1	300	-0.228059720766699	0.0566131856243248	0.0553984939433714	94.63	6.31766979532635		-0.570461685213217	0.042382666025528	0.044846388323565	95.77	3.88910774004916	1.78426206766676
0	0.2	300	-0.154633400381906	0.0658827790450369	0.0645057466495458	94.52	8.55418935635664		-0.961940567106023	0.0446294173659597	0.0465781874936226	95.27	4.31699337081607	2.17922155492105
0	0.3	300	-0.0308346044665744	0.072985747959245	0.0716122014895459	94.76	10.5143347155778		-1.35091533830321	0.0465910269264447	0.0479103097369313	94.61	4.67291609384873	2.45398305835193
0.5	0.05	300	-0.00795118314352722	0.054809931594498	0.0534642989836086	94.73	5.9110060750185		-0.45935837250554	0.0411959559224486	0.0438345805159493	96.18	3.65808086846962	1.77014706974894
0.5	0.1	300	0.0119118170283095	0.0631820386251241	0.0616907382181676	94.59	7.8642896535768		-0.757100509461237	0.0425924350260126	0.044866123701413	95.58	3.89956557607266	2.20050485078631
0.5	0.2	300	0.127746044077011	0.0748825065458215	0.0734881457901517	94.76	11.0909400791588		-1.2447252806364	0.0449065610270024	0.0466082796414234	94.71	4.36409986809606	2.78061685330173
0.5	0.3	300	0.302412417171032	0.0833801718540871	0.08186735291401	94.81	13.7540280145449		-1.74632482513631	0.046720258559468	0.0481788786324245	94.04	4.83581054266809	3.18504150905975
