				SY						CC						SMLE			
$\tau$	$r$	$p$	Covariate	Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP	RE		Bias	SE	SEE	CP
0.5	0.3	0.6	$X_a$	-0.000295529176625731	0.0422338857263297	0.0422666348226684	0.9501	0.80991756878622		-0.000397589014076438	0.0403377378620231	0.0399779435544322	0.9468	0.887850456075608		-0.00209682679004003	0.0380085629986744	0.0378896941918525	0.9478
0.5	0.3	0.6	$X_b$	0.000113538791493673	0.0811875874702607	0.0823024269371031	0.9538	1.08077079688619		7.1775585012146e-05	0.0839973684770789	0.0836214684145195	0.945	1.00967479073071		-3.51672320320073e-07	0.0844027188978662	0.0837923574811918	0.9451
0.5	0.3	1	$X_a$	0.00107634442118887	0.0443353900014651	0.0437928322985657	0.949	0.763744202124202		0.00011401685611967	0.0411461248730318	0.0407215439886238	0.9481	0.886729410440258		-0.00167096191812616	0.0387457878622557	0.0384483851152947	0.9475
0.5	0.3	1	$X_b$	0.000119852368254403	0.0858421705220039	0.0867327332238495	0.9505	1.0326557839747		-0.000634208355256349	0.0870286446806863	0.0871475387803626	0.9495	1.00469102340898		-0.000700640847289435	0.0872325325544764	0.0873741911311987	0.9501
0.5	0.5	0.6	$X_a$	-0.000400998025125499	0.0420046120972903	0.0420245372250488	0.9491	0.810806450386953		-0.000341924773498425	0.0402421051611309	0.0398817720542186	0.9481	0.883384487663536		-0.00119155804513521	0.037822965447743	0.0377471751446677	0.9497
0.5	0.5	0.6	$X_b$	9.49192094013007e-06	0.0800637351209729	0.0811367323203269	0.9528	1.07899634120057		8.35687549486375e-05	0.0829041710234619	0.0825862939958345	0.9455	1.00632648698254		0.000100735288152576	0.0831660036356156	0.0827491262472223	0.9464
0.5	0.5	1	$X_a$	0.000904408041224936	0.0439196856798382	0.0433992223204436	0.9477	0.768895857388778		0.000152075825484599	0.0410022954345208	0.0405794473162613	0.9476	0.882205227049261		-0.000575112062984218	0.0385117260708143	0.0383153526498436	0.9479
0.5	0.5	1	$X_b$	2.57073665668184e-05	0.0840474817331684	0.0848770982980066	0.9501	1.0420842209088		-0.000628250819106668	0.0856324326674882	0.0858449878341546	0.9501	1.00386581971628		-0.000739968625818321	0.0857977927818244	0.0860413188727137	0.9501
1	0.3	0.6	$X_a$	-0.000188109119854507	0.0457727678512977	0.0457704600341881	0.9487	0.721403018800274		-0.000452094718594864	0.041766477739634	0.0412504895653492	0.9468	0.866436224524228		-0.00236776387004878	0.0388773050620688	0.0386144218128931	0.9465
1	0.3	0.6	$X_b$	0.000233591703646341	0.087435679840034	0.0887566874002379	0.9529	1.04319141339956		8.75369769350876e-05	0.0890177541252684	0.0883082794971426	0.9462	1.00644053499823		0.000123319947152201	0.0893039550236015	0.0880407561000118	0.9454
1	0.3	1	$X_a$	0.00137534311139109	0.0501079910945823	0.0493505442820878	0.948	0.625598367841356		0.000110718594261761	0.0430135011731336	0.0424489429732068	0.9465	0.84898496953647		-0.00194775801995806	0.0396328035928652	0.0391059288035265	0.945
1	0.3	1	$X_b$	0.000328320821710859	0.0957785268911383	0.0967949019089928	0.9495	0.950538527550489		-0.000703123638085612	0.0926841056615339	0.0924815996183668	0.9496	1.01506885702035		-0.000751611653513229	0.0933798163382524	0.0926667540011935	0.9505
1	0.5	0.6	$X_a$	-0.000452423703401927	0.0451257327743149	0.0451178291138911	0.9486	0.734918747995935		-0.000254392888072386	0.0415625474745849	0.0410595938468926	0.9475	0.866330378653612		-0.00109594054344514	0.0386851184100755	0.0384594356768743	0.9482
1	0.5	0.6	$X_b$	8.78367062741026e-05	0.0853074269135889	0.0865792575100022	0.9531	1.05798148946306		0.000111519749720124	0.0875766992937346	0.0869493698197952	0.9465	1.00386337336032		4.78271033810262e-05	0.0877457069596795	0.0867846031343577	0.9459
1	0.5	1	$X_a$	0.000915550929728171	0.0490116325323334	0.0483252091178942	0.9498	0.648217121729168		0.000267205391750902	0.0427461080707486	0.0421992489629896	0.9475	0.852168892503686		-0.000543136275297951	0.039460212326282	0.0389737319946007	0.9467
1	0.5	1	$X_b$	0.000195505157375764	0.0924923354089333	0.0934343537311155	0.9492	0.980583210292225		-0.000683170931006616	0.0910837880433385	0.09101548330348	0.9492	1.01114578480569		-0.000698625031170963	0.0915899816210545	0.0911687312471806	0.952
