		SY					MLE				
rho	p	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
-0.5	0.1	0.00233046834185674	0.0435980481526282	0.0433637411281889	0.9501		-0.00412818050194014	0.0367224657782287	0.0358348381094469	0.9389	1.40951734288884
-0.5	0.3	0.00394891678916048	0.0572628964881048	0.0569315415281572	0.9499		-0.00770113250096549	0.0413046682979121	0.0406108994286843	0.9371	1.92197770697645
-0.5	0.6	0.00462384250347198	0.0690756480587295	0.0689816044835487	0.9514		-0.0138967681495641	0.0467085523694108	0.045449903475667	0.934	2.18704198957586
-0.5	1	0.00635969124392438	0.0809953850469344	0.0805204615263382	0.948		-0.0168414389638603	0.049762929917255	0.0488221152615964	0.9312	2.6491628946877
-0.3	0.1	0.00135040143945497	0.0416351925910338	0.0415041685481327	0.9499		-0.00346358172697642	0.0367201083212249	0.0358442722617836	0.9394	1.28562186048835
-0.3	0.3	0.00263953316145843	0.054421827107164	0.0541665148220552	0.9507		-0.00596299589014881	0.0416580598405149	0.0410439354133865	0.9403	1.70666451051944
-0.3	0.6	0.00315887140627452	0.0666516877959247	0.0665792788191259	0.9515		-0.0104015941599441	0.0473255069023118	0.0459563448748771	0.9372	1.9834979409698
-0.3	1	0.00441448236428826	0.0795490809625026	0.0791454866016794	0.9483		-0.0124992803623023	0.0506704630568761	0.049559369153022	0.9377	2.46468026039831
0	0.1	-0.000562150451256849	0.0393577771566958	0.0391131839498043	0.95		-0.0022058772020907	0.0367071068230123	0.0357947365861536	0.9397	1.14963721385196
0	0.3	0.000317984217197198	0.0508780066903851	0.0503608911042536	0.9492		-0.00354958255146959	0.0420330627236955	0.0410713378671319	0.9424	1.46513655620795
0	0.6	0.000934076790561233	0.0627755131241788	0.06281949322967	0.9514		-0.00553664442062363	0.0475437263262213	0.0463520373744141	0.9428	1.74338822304887
0	1	0.00202942091166103	0.0765225328613002	0.0760974927400617	0.9485		-0.00688438869877434	0.0514559761278178	0.0499840549796877	0.9399	2.21160228814551
0.3	0.1	-0.00223620865139318	0.037596865772358	0.03744036049252	0.9482		-0.000632796097021049	0.0366906651078023	0.0354299659269028	0.9402	1.05000680769259
0.3	0.3	-0.00182481182659572	0.0476146594101823	0.0472077659883561	0.9496		-0.00091275553275505	0.0416989659314444	0.0407670751494044	0.9428	1.30385949422569
0.3	0.6	-0.00138733172249667	0.058715497977648	0.0588347819319904	0.9521		-0.00119535454860409	0.0470010559697732	0.0460093779047924	0.9443	1.5605951989748
0.3	1	-0.000923122576940494	0.0709678376465411	0.0716110453658455	0.9551		-0.00120392274176473	0.0509075874712855	0.0496381418948864	0.9451	1.94338171900352
0.5	0.1	-0.00319290313544213	0.0368706244750902	0.036741996756495	0.9496		0.000616897375183945	0.0361251269215476	0.0351027326267526	0.9416	1.04169894264815
0.5	0.3	-0.0031347760877507	0.0458675237889838	0.0454865604168763	0.9519		0.00090377679551934	0.0410016872747947	0.0401997579913143	0.9426	1.2514316426096
0.5	0.6	-0.00284792370590153	0.0558584066353976	0.0560318293881993	0.9513		0.00204046486455828	0.04604807354192	0.0453686122330964	0.9456	1.47147929243251
0.5	1	-0.00280109439108894	0.0670915812472325	0.0677288164186605	0.9544		0.00265234268339359	0.0498250536285797	0.0487802971780964	0.9446	1.81317827024374
