		SY					MLE				
rho	p	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
-0.5	0.1	0.00233046834185674	0.0435980481526282	0.0433637411281889	0.9501		-0.00474458716195297	0.0372677883259396	0.0358543277468464	0.9351	1.36856948781835
-0.5	0.3	0.00394891678916048	0.0572628964881048	0.0569315415281572	0.9499		-0.00448872279281592	0.0421044130751688	0.040874445260301	0.939	1.84965779961803
-0.5	0.6	0.00462384250347198	0.0690756480587295	0.0689816044835487	0.9514		-0.00623631848002942	0.047862010510978	0.0459172703301841	0.9378	2.08289827633214
-0.5	1	0.00635969124392438	0.0809953850469344	0.0805204615263382	0.948		-0.00652949683302262	0.0513703976804741	0.0492877370641741	0.9373	2.4859631867595
-0.3	0.1	0.00135040143945497	0.0416351925910338	0.0415041685481327	0.9499		-0.00399631526184124	0.0371645707992071	0.0358405621837633	0.9355	1.25505544586034
-0.3	0.3	0.00263953316145843	0.054421827107164	0.0541665148220552	0.9507		-0.0033130761764319	0.0425389822727876	0.0411695163552587	0.9389	1.63671116800155
-0.3	0.6	0.00315887140627452	0.0666516877959247	0.0665792788191259	0.9515		-0.00464431571947044	0.048590623167932	0.0465945872347157	0.938	1.8815569376412
-0.3	1	0.00441448236428826	0.0795490809625026	0.0791454866016794	0.9483		-0.00479709376397991	0.0521833011851638	0.0499382005991658	0.9381	2.32384540906453
0	0.1	-0.000562150451256849	0.0393577771566958	0.0391131839498043	0.95		-0.00255087442530305	0.037158612732617	0.0357170492134546	0.9356	1.12186898360696
0	0.3	0.000317984217197198	0.0508780066903851	0.0503608911042536	0.9492		-0.00203188312087427	0.0428812746578186	0.041365335584057	0.9413	1.40774762519227
0	0.6	0.000934076790561233	0.0627755131241788	0.06281949322967	0.9514		-0.0020561024800867	0.0487204769578763	0.0468299385086802	0.9398	1.66018880159863
0	1	0.00202942091166103	0.0765225328613002	0.0760974927400617	0.9485		-0.00255854552087653	0.0529732387616383	0.0504396193212982	0.9357	2.08672692813193
0.3	0.1	-0.00223620865139318	0.037596865772358	0.03744036049252	0.9482		-0.000666454584742293	0.0370275646342401	0.0353870665333478	0.9375	1.03098651851453
0.3	0.3	-0.00182481182659572	0.0476146594101823	0.0472077659883561	0.9496		-0.000470001958190636	0.0425432623472743	0.0410619813573793	0.9413	1.25262127760966
0.3	0.6	-0.00138733172249667	0.058715497977648	0.0588347819319904	0.9521		-0.00030889452612165	0.0482094097545735	0.0464171670891312	0.9398	1.48334396343377
0.3	1	-0.000923122576940494	0.0709678376465411	0.0716110453658455	0.9551		-0.000172413011687966	0.0523551124265818	0.0502156965697798	0.9418	1.83740524748165
0.5	0.1	-0.00319290313544213	0.0368706244750902	0.036741996756495	0.9496		0.000603219236117447	0.0363966932176785	0.0350847013824028	0.9395	1.02621209836637
0.5	0.3	-0.0031347760877507	0.0458675237889838	0.0454865604168763	0.9519		0.000356186053658891	0.0418747683788855	0.0403848037036443	0.9394	1.19979142606423
0.5	0.6	-0.00284792370590153	0.0558584066353976	0.0560318293881993	0.9513		0.00106064982943549	0.0472307097151733	0.0456128146045065	0.9427	1.39871149281845
0.5	1	-0.00280109439108894	0.0670915812472325	0.0677288164186605	0.9544		0.00142842533326182	0.0512228116594998	0.0493297107699353	0.9409	1.71557310119947
