		SY					MLE				
rho	p	Bias	SE	SEE	CP		Bias	SE	SEE	CP	RE
-0.5	0.1	0.00233046834185674	0.0435980481526282	0.0433637411281889	0.9501		-0.00552190874486014	0.0373911089063383	0.0358084363010894	0.9316	1.35955694598435
-0.5	0.3	0.00394891678916048	0.0572628964881048	0.0569315415281572	0.9499		-0.0041553146998341	0.0424269247661787	0.040952921413072	0.9377	1.82164403436158
-0.5	0.6	0.00462384250347198	0.0690756480587295	0.0689816044835487	0.9514		-0.00483765630601862	0.0482604072304771	0.0459553840143506	0.9361	2.04865096075002
-0.5	1	0.00635969124392438	0.0809953850469344	0.0805204615263382	0.948		-0.00456416637664464	0.051764722753923	0.0494460735789608	0.9373	2.44823309326006
-0.3	0.1	0.00135040143945497	0.0416351925910338	0.0415041685481327	0.9499		-0.00452759535896785	0.0372922456016646	0.0357801278571952	0.9336	1.24647646896058
-0.3	0.3	0.00263953316145843	0.054421827107164	0.0541665148220552	0.9507		-0.00309645834964012	0.0427940837941501	0.0411954199686652	0.9373	1.61725600027139
-0.3	0.6	0.00315887140627452	0.0666516877959247	0.0665792788191259	0.9515		-0.0032836744016263	0.048965613401553	0.046482985820901	0.9365	1.85284847334337
-0.3	1	0.00441448236428826	0.0795490809625026	0.0791454866016794	0.9483		-0.00327633979451641	0.0526507615745962	0.0501600849471856	0.9365	2.28276401693074
0	0.1	-0.000562150451256849	0.0393577771566958	0.0391131839498043	0.95		-0.00283769331623379	0.0372823306916381	0.0356560009721561	0.9345	1.11443570094288
0	0.3	0.000317984217197198	0.0508780066903851	0.0503608911042536	0.9492		-0.00186705122548181	0.0431450554478038	0.0414064562837262	0.939	1.39058683422519
0	0.6	0.000934076790561233	0.0627755131241788	0.06281949322967	0.9514		-0.00143280217234387	0.0491551034057008	0.0468330909720156	0.936	1.63096001727314
0	1	0.00202942091166103	0.0765225328613002	0.0760974927400617	0.9485		-0.0017139492461139	0.0533129801682099	0.0505304636713199	0.9346	2.06021598742533
0.3	0.1	-0.00223620865139318	0.037596865772358	0.03744036049252	0.9482		-0.000679284286879023	0.0370441768111965	0.0353092861988566	0.9373	1.03006204985366
0.3	0.3	-0.00182481182659572	0.0476146594101823	0.0472077659883561	0.9496		-0.000372066898839507	0.0428490585900849	0.0410208452737956	0.9384	1.23480618116217
0.3	0.6	-0.00138733172249667	0.058715497977648	0.0588347819319904	0.9521		-0.000120371626029736	0.0485777597500557	0.0465010651680945	0.9387	1.46093378257892
0.3	1	-0.000923122576940494	0.0709678376465411	0.0716110453658455	0.9551		2.07793701941239e-05	0.0528124523258505	0.0504679942293551	0.9385	1.80572028529398
0.5	0.1	-0.00319290313544213	0.0368706244750902	0.036741996756495	0.9496		0.000739698458124383	0.0364640734312842	0.0350272676644617	0.9384	1.02242302612393
0.5	0.3	-0.0031347760877507	0.0458675237889838	0.0454865604168763	0.9519		0.000382939179629838	0.0420623493154165	0.0404141634609023	0.939	1.18911412584123
0.5	0.6	-0.00284792370590153	0.0558584066353976	0.0560318293881993	0.9513		0.00088820341590129	0.0476544581686104	0.0456866559306513	0.9406	1.37394710891592
0.5	1	-0.00280109439108894	0.0670915812472325	0.0677288164186605	0.9544		0.00111114393870598	0.0517653029613109	0.0495196293332169	0.9401	1.67980370617379
