			SY						MLE					
rho_u_ustar	p_s	n2	Bias_persent	SE_1E2	SEE_1E2	CP_percent	MSE_1E7		Bias_persent	SE_1E2	SEE_1E2	CP_percent	MSE_1E7	RE
-0.5	0.05	300	-0.46674275146685	0.0473721401373046	0.0463214954291253	94.46	4.42611777619345		-0.172710090790926	0.040531989603571	0.0418145466266232	95.58	3.4040962857326	1.36599832098081
-0.5	0.1	300	-0.463853877326493	0.0509226560882657	0.0499299295513231	94.37	5.12826057011531		-0.345672135163115	0.0417613272282463	0.0427448677659936	95.43	3.59758222456389	1.48687175243404
-0.5	0.2	300	-0.430076515958323	0.0573837670103147	0.056144099985236	94.52	6.49218027979257		-0.624900944154131	0.0438075431266575	0.0442618422963047	94.98	3.93887606342242	1.71585393356761
-0.5	0.3	300	-0.35770769584928	0.0626530909257462	0.0615137330274414	94.69	7.75778097457307		-0.876484808164414	0.0456170853049994	0.0456714644166609	94.49	4.25855780683133	1.88638327540937
0	0.05	300	-0.235684496950831	0.0506897337883882	0.0495567865786541	94.74	5.05780985153636		-0.309168541648384	0.0408993850269005	0.0421043135062509	95.55	3.47295207981429	1.53605393430335
0	0.1	300	-0.228059720766699	0.0566131856243248	0.0553984939433714	94.63	6.31766979532635		-0.565916750444005	0.042419316538828	0.043281041383843	95.11	3.79437856199124	1.78118017594654
0	0.2	300	-0.154633400381906	0.0658827790450369	0.0645057466495458	94.52	8.55418935635664		-0.962295115213545	0.044599603912624	0.0449236454033997	94.46	4.12425860665832	2.18213601288436
0	0.3	300	-0.0308346044665744	0.072985747959245	0.0716122014895459	94.76	10.5143347155778		-1.34773417794873	0.0466277804425786	0.0465229169487114	93.84	4.53792688266869	2.45011596629845
0.5	0.05	300	-0.00795118314352722	0.054809931594498	0.0534642989836086	94.73	5.9110060750185		-0.454182409358166	0.0412068380345942	0.0421421342005444	95.32	3.51188991296847	1.7692122542514
0.5	0.1	300	0.0119118170283095	0.0631820386251241	0.0616907382181676	94.59	7.8642896535768		-0.759553401445678	0.0425938434828555	0.0433048709582098	94.91	3.78804630760654	2.20035932436188
0.5	0.2	300	0.127746044077011	0.0748825065458215	0.0734881457901517	94.76	11.0909400791588		-1.25086508855942	0.0449143088936973	0.0450749367610413	93.94	4.22733776855215	2.77965760485522
0.5	0.3	300	0.302412417171032	0.0833801718540871	0.08186735291401	94.81	13.7540280145449		-1.74360374119997	0.0467023880757088	0.0467838270982345	93.32	4.71677706242178	3.18747946243532
